Ranking,Country Code,Location,Consumption(GWh/yr),Year,Source,Population,As of,Consumption per capita kWh/yr,Watts
126,AFG,Afghanistan,"5,500",2021[4],EIA,"40,099,460",2021[5],137,16
113,ALB,Albania,"7,400",2021[4],EIA,"2,854,710",2021[5],2592,296
43,DZA,Algeria,"69,000",2021[4],EIA,"44,177,964",2021[5],1562,178
199,ASM,American Samoa,200,2021[4],EIA,"45,056",2021[5],4439,506
178,AND,Andorra,500,2012 est.,EIA,"77,140",2019,6482,739
85,AGO,Angola,"15,000",2021[4],EIA,"34,503,776",2021[5],435,50
189,ATG,Antigua and Barbuda,300,2021[4],EIA,"93,229",2021[5],3218,367
32,ARG,Argentina,"127,000",2021[4],EIA,"45,276,788",2021[5],2805,320
122,ARM,Armenia,"6,100",2021[4],EIA,"2,790,971",2021[5],2186,249
165,ABW,Aruba,800,2021[4],EIA,"106,543",2021[5],7509,857
19,AUS,Australia,"237,000",2021[4],EIA,"25,921,094",2021[5],9143,1043
42,AUT,Austria,"69,000",2021[4],EIA,"8,922,086",2021[5],7734,882
71,AZE,Azerbaijan,"25,000",2021[4],EIA,"10,312,992",2021[5],2424,277
148,BHS,Bahamas,"2,000",2021[4],EIA,"407,920",2021[5],4903,559
65,BHR,Bahrain,"31,000",2021[4],EIA,"1,463,266",2021[5],21185,2417
39,BGD,Bangladesh,"78,000",2021[4],EIA,"169,356,240",2021[5],461,53
157,BRB,Barbados,"1,000",2021[4],EIA,"281,204",2021[5],3556,406
59,BLR,Belarus,"41,000",2021[4],EIA,"9,578,172",2021[5],4281,488
37,BEL,Belgium,"83,000",2021[4],EIA,"11,611,416",2021[5],7148,815
162,BLZ,Belize,900,2021[4],EIA,"400,037",2021[5],2250,257
175,BEN,Benin,500,2021[4],EIA,"12,996,901",2021[5],101,12
177,BMU,Bermuda,500,2021[4],EIA,"64,213",2021[5],7787,888
134,BTN,Bhutan,"3,300",2021[4],EIA,"777,500",2021[5],4244,484
100,BOL,Bolivia,"9,700",2021[4],EIA,"12,079,474",2021[5],803,92
97,BIH,Bosnia and Herzegovina,"11,000",2021[4],EIA,"3,270,948",2021[5],3363,384
132,BWA,Botswana,"3,400",2021[4],EIA,"2,588,424",2021[5],1314,150
6,BRA,Brazil,"577,000",2021[4],EIA,"214,326,224",2021[5],2692,307
205,VGB,British Virgin Islands,100,2021[4],EIA,"31,145",2021[5],3211,366
131,BRN,Brunei,"4,200",2021[4],EIA,"445,382",2021[5],9430,1076
66,BGR,Bulgaria,"30,000",2021[4],EIA,"6,885,864",2021[5],4357,497
142,BFA,Burkina Faso,"2,600",2021[4],EIA,"22,100,690",2021[5],118,13
181,BDI,Burundi,400,2021[4],EIA,"12,551,215",2021[5],32,4
190,CPV,Cabo Verde,300,2021[4],EIA,"587,936",2021[5],510,58
99,KHM,Cambodia,"11,000",2021[4],EIA,"16,589,031",2021[5],663,76
121,CMR,Cameroon,"6,100",2021[4],EIA,"27,198,632",2021[5],224,26
8,CAN,Canada,"555,000",2021[4],EIA,"38,155,012",2021[5],14546,1659
166,CYM,Cayman Islands,700,2021[4],EIA,"68,157",2021[5],10270,1172
203,CAF,Central African Republic,100,2021[4],EIA,"5,457,165",2021[5],18,2
191,TCD,Chad,300,2021[4],EIA,"17,179,744",2021[5],17,2
38,CHL,Chile,"81,000",2021[4],EIA,"19,493,184",2021[5],4155,474
1,CHN,China,"7,806,000",2021[4],EIA,"1,425,893,504",2021[5],5474,624
40,COL,Colombia,"76,000",2021[4],EIA,"51,516,560",2021[5],1475,168
206,COM,Comoros,100,2021[4],EIA,"821,632",2021[5],122,14
105,COD,"Congo, Democratic Republic of the","8,900",2021[4],EIA,"95,894,120",2021[5],93,11
147,COG,"Congo, Republic of the","2,200",2021[4],EIA,"5,835,814",2021[5],377,43
213,COK,Cook Islands,38.81,2018 est.,EIA,"9,556",2016,3308,377
98,CRI,Costa Rica,"11,000",2021[4],EIA,"5,153,959",2021[5],2134,243
78,HRV,Croatia,"16,000",2021[4],EIA,"4,060,139",2021[5],3941,450
80,CUB,Cuba,"16,000",2021[4],EIA,"11,256,373",2021[5],1421,162
160,CUW,Curacao,900,2008 est.,EIA,"157,540",2019,5713,652
129,CYP,Cyprus,"4,700",2021[4],EIA,"1,244,193",2021[5],3778,431
