Country Code,Country,Region,hdicode,Year,co2_prod,abr,coef_ineq,diff_hdi_phdi,eys,eys_f,eys_m,gii,gni_pc_f,gni_pc_m,gnipc,hdi,hdi_f,hdi_m,ihdi,ineq_edu,ineq_inc,ineq_le,le,le_f,le_m,lfpr_f,lfpr_m,mf,mmr,mys,mys_f,mys_m,phdi,pr_f,pr_m,se_f,se_m,IncomeGroup,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
AFG,Afghanistan,South Asia,Low,1990,0.209727313,142.96,,1.098901099,2.504050016,1.970662649,3.939092538,,668.0557602,4700.298515,2684.550019,0.273,0.196279945,0.329910184,,,,,45.9672,48.3973,43.7088,15.18,77.43,2.33,1500.0,0.97112539,0.342503031,1.311019876,0.27,,,0.700484716,5.419458611,Low income,48.88,15.241,,,,0.0,121.1,50.331,19.0122,
AFG,Afghanistan,South Asia,Low,1991,0.182524769,147.525,,1.075268817,2.806550026,2.0966789,4.171639642,,564.9263743,3987.412921,2276.289409,0.279,0.196378106,0.334045576,,,,,46.6631,49.1439,44.3528,15.214,77.176,2.28,1530.0,1.019355778,0.371860434,1.385485805,0.276,,,0.772360539,5.583395245,Low income,48.763,14.783,,,,,117.3,50.999,20.3704,2.976
AFG,Afghanistan,South Asia,Low,1992,0.095232862,147.521,,1.045296167,3.109050035,2.230753402,4.417915329,,508.7507302,3611.099678,2059.868084,0.287,0.199362258,0.34022826,,,,,47.5955,50.3197,45.0697,15.223,76.871,2.35,1520.0,1.067586167,0.401217837,1.459951734,0.284,,,0.844236362,5.747331878,Low income,48.709,14.362,,,,,113.7,51.641,22.1878,3.173
AFG,Afghanistan,South Asia,Low,1993,0.084284849,147.896,,1.01010101,3.411550045,2.373401451,4.678730074,,374.5810925,2675.906967,1525.533426,0.297,0.195311403,0.356374407,,,,,51.4664,52.7389,50.2164,15.197,76.58,2.1,1480.0,1.115816555,0.43057524,1.534417663,0.294,,,0.916112186,5.911268512,Low income,48.717,13.974,,,,,110.4,52.256,24.2266,3.463
AFG,Afghanistan,South Asia,Low,1994,0.075053905,155.669,,1.02739726,3.714050055,2.525171289,4.954942201,,266.2076098,1908.508902,1087.96189,0.292,0.182091907,0.347560398,,,,,51.4945,53.5442,49.5307,15.178,76.33,1.83,1540.0,1.164046944,0.459932642,1.608883592,0.289,,,0.987988009,6.075205145,Low income,48.77,13.616,,,,,107.1,52.842,26.1553,3.612
AFG,Afghanistan,South Asia,Low,1995,0.067943421,156.77,,0.967741935,4.016550064,2.686646222,5.247460706,,328.4241349,2347.28821,1339.087122,0.31,0.199483054,0.367555056,,,,,52.5442,54.0874,51.0387,15.221,76.102,1.81,1490.0,1.212277332,0.489290045,1.683349521,0.307,,,1.059863832,6.239141779,Low income,48.835,13.282,,,,,104.0,53.398,27.7405,3.653
AFG,Afghanistan,South Asia,Low,1996,0.061787143,154.932,,0.940438871,4.319050074,2.858446852,5.557248247,,324.3166378,2336.562506,1332.30721,0.319,0.204407892,0.376092144,,,,,53.2433,54.8057,51.7216,15.078,76.14,1.62,1440.0,1.251383053,0.518647448,1.736839132,0.316,,,1.121384663,6.344188554,Low income,48.87,12.964,,,,,101.1,53.924,28.8782,3.621
AFG,Afghanistan,South Asia,Low,1997,0.056005215,156.444,,0.92879257,4.621550083,3.041233468,5.885324314,,297.8914719,2157.935831,1230.26129,0.323,0.204163534,0.380760776,,,,,53.6342,55.1513,52.1525,14.954,76.262,1.73,1470.0,1.290488773,0.54800485,1.790328743,0.32,,,1.182905495,6.449235328,Low income,48.833,12.655,,,,,98.4,54.424,29.6497,3.603
AFG,Afghanistan,South Asia,Low,1998,0.052143695,154.262,,0.925925926,4.924050093,3.23570858,6.232768583,,277.7259462,2016.629812,1149.90239,0.324,0.203051618,0.380485829,,,,,52.9431,54.8179,51.1337,14.873,76.415,2.08,1410.0,1.329594493,0.577362253,1.843818354,0.321,,,1.244426326,6.554282103,Low income,48.688,12.348,,,,,95.7,54.906,30.2328,3.536
AFG,Afghanistan,South Asia,Low,1999,0.040132679,154.416,,0.903614458,5.226550102,3.442619624,6.600724469,,258.5663333,1878.913793,1071.800919,0.332,0.205236817,0.39227905,,,,,54.8464,56.3004,53.4104,14.827,76.549,2.03,1470.0,1.368700214,0.606719656,1.897307965,0.329,,,1.305947158,6.659328878,Low income,48.419,12.037,,,,,93.1,55.376,30.8961,3.606
AFG,Afghanistan,South Asia,Low,2000,0.036461584,152.572,,1.194029851,5.529050112,3.662761828,6.99040289,,237.2676187,1726.031083,984.9974338,0.335,0.203936948,0.396252763,,,,,55.2978,56.8579,53.7617,14.795,76.646,2.28,1450.0,1.407805934,0.636077058,1.950797576,0.331,,,1.36746799,6.764375653,Low income,48.021,11.718,,,,,90.6,55.841,31.8291,3.517
AFG,Afghanistan,South Asia,Low,2001,0.036930645,150.863,,1.18694362,5.831550121,3.896981274,7.403086251,,216.8189728,1564.229173,894.0245886,0.337,0.201547442,0.400002035,,,,,55.7981,57.3437,54.2716,14.936,76.589,2.34,1390.0,1.465160991,0.671958328,2.001140739,0.333,,,1.476499959,7.183766943,Low income,47.505,11.387,,,,0.00472257,88.0,56.308,33.0959,3.426
AFG,Afghanistan,South Asia,Low,2002,0.046529388,148.141,,1.104972376,6.134050131,4.146178147,7.840132666,,310.019029,2213.982986,1267.628852,0.362,0.23412425,0.426736706,,,,,56.4538,57.6715,55.2265,15.113,76.491,2.48,1300.0,1.522516047,0.707839598,2.051483902,0.358,,,1.585531927,7.603158234,Low income,46.901,11.048,,4055180000.0,179.426,0.0045614,85.4,56.784,34.6181,3.55
AFG,Afghanistan,South Asia,Low,2003,0.050082617,143.37,,1.329787234,6.43655014,4.411310196,8.302980423,,345.8247108,2442.948082,1401.324413,0.376,0.248561349,0.441486253,,,,,57.3445,58.6498,56.0316,15.298,76.393,2.63,1240.0,1.579871104,0.743720868,2.101827066,0.371,,,1.694563896,8.022549524,Low income,46.231,10.704,,4515560000.0,190.684,0.0878913,82.8,57.271,36.2725,3.419
AFG,Afghanistan,South Asia,Low,2004,0.035959937,138.827,,1.020408163,7.39387989,4.137720108,10.46887016,,344.9831452,2409.342035,1384.695729,0.392,0.24601711,0.471733817,,,,,57.9436,59.2159,56.6578,15.475,76.332,2.2,1180.0,1.637226161,0.779602138,2.152170229,0.388,,,1.803595865,8.441940815,Low income,45.507,10.356,,5226780000.0,211.382,0.105809,80.1,57.772,37.8744,3.087
AFG,Afghanistan,South Asia,Low,2005,0.050802445,133.071,,1.0,7.660417938,4.592572117,10.55986004,0.748,361.2608997,2492.272718,1435.19173,0.4,0.25804377,0.476655583,,,,,58.3608,59.6966,57.0128,15.644,76.318,2.02,1140.0,1.694581217,0.815483408,2.202513392,0.396,25.92592593,74.07407407,1.912627834,8.861332105,Low income,44.723,10.003,,6209140000.0,242.031,1.22415,77.4,58.29,39.2952,2.942
AFG,Afghanistan,South Asia,Low,2006,0.061869518,126.106,,0.733496333,7.926955986,5.047424126,10.65084991,0.749,379.7255676,2638.813517,1518.767846,0.409,0.270040327,0.482456142,,,,,58.6844,60.2431,57.1332,15.455,76.422,1.53,1120.0,1.77670323,0.841578877,2.300053271,0.406,25.92592593,74.07407407,1.887654031,9.45898459,Low income,43.87,9.645,,6971290000.0,263.734,2.10712,74.7,58.826,40.4881,2.825
AFG,Afghanistan,South Asia,Low,2007,0.083710521,125.858,,0.70754717,8.193494034,5.502276134,10.74183979,0.752,450.2102996,3147.896767,1811.166659,0.424,0.290083384,0.494361998,,,,,59.1113,60.909,57.3416,15.275,76.567,1.53,1090.0,1.858825243,0.867674346,2.39759315,0.421,25.87209302,74.12790698,1.862680228,10.05663707,Low income,42.944,9.287,,9747890000.0,359.693,1.9,72.0,59.375,41.5105,2.128
