Country Code,IncomeGroup,Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
AFG,Low income,2018,,,137.0,19363000000.0,520.897,,47.9,,56.9378,1.542
AFG,Low income,2017,33.211,6.575,132.89,20191800000.0,556.302,13.5,49.5,64.13,55.596,1.559
AFG,Low income,2016,33.981,6.742,128.9033,19362600000.0,547.228,11.2,51.2,63.763,54.1971,1.634
AFG,Low income,2015,34.809,6.929,125.03620099999999,19907100000.0,578.466,8.26,53.1,63.377,52.7121,1.679
AFG,Low income,2014,35.706,7.141,121.28511497,20484900000.0,613.856,7.0,55.1,62.966,51.1148,1.735
AFG,Low income,2013,36.67,7.38,117.6465615209,20561100000.0,637.165,5.9,57.3,62.525,49.428,1.725
AFG,Low income,2012,37.69,7.645,114.11716467527297,20001600000.0,641.872,5.45455,59.5,62.054,47.7306,1.692
AFG,Low income,2011,38.75,7.936,110.69364973501479,17804300000.0,591.162,5.0,61.9,61.553,46.1315,1.984
AFG,Low income,2010,39.829,8.25,107.37284024296434,15856600000.0,543.303,4.0,64.3,61.028,44.7041,2.275
AFG,Low income,2009,40.903,8.584,104.15165503567542,12439100000.0,438.076,3.55,66.8,60.484,43.493,2.47
AFG,Low income,2008,41.949,8.932,101.02710538460515,10109200000.0,364.66,1.84,69.4,59.93,42.4628,2.494
AFG,Low income,2007,42.944,9.287,97.99629222306699,9747890000.0,359.693,1.9,72.0,59.375,41.5105,2.128
AFG,Low income,2006,43.87,9.645,95.05640345637497,6971290000.0,263.734,2.10712,74.7,58.826,40.4881,2.825
AFG,Low income,2005,44.723,10.003,92.20471135268372,6209140000.0,242.031,1.22415,77.4,58.29,39.2952,2.942
AFG,Low income,2004,45.507,10.356,89.43857001210321,5226780000.0,211.382,0.105809,80.1,57.772,37.8744,3.087
AFG,Low income,2003,46.231,10.704,86.75541291174011,4515560000.0,190.684,0.0878913,82.8,57.271,36.2725,3.419
AFG,Low income,2002,46.901,11.048,84.15275052438791,4055180000.0,179.426,0.0045614,85.4,56.784,34.6181,3.55
AFG,Low income,2001,47.505,11.387,81.62816800865627,,,0.00472257,88.0,56.308,33.0959,3.426
AFG,Low income,2000,48.021,11.718,79.17932296839658,,,,90.6,55.841,31.8291,3.517
AFG,Low income,1999,48.419,12.037,76.80394327934468,,,,93.1,55.376,30.8961,3.606
AFG,Low income,1998,48.688,12.348,74.49982498096433,,,,95.7,54.906,30.2328,3.536
AFG,Low income,1997,48.833,12.655,72.26483023153541,,,,98.4,54.424,29.6497,3.603
AFG,Low income,1996,48.87,12.964,70.09688532458934,,,,101.1,53.924,28.8782,3.621
AFG,Low income,1995,48.835,13.282,67.99397876485165,,,,104.0,53.398,27.7405,3.653
AFG,Low income,1994,48.77,13.616,65.9541594019061,,,,107.1,52.842,26.1553,3.612
AFG,Low income,1993,48.717,13.974,63.97553461984892,,,,110.4,52.256,24.2266,3.463
AFG,Low income,1992,48.709,14.362,62.05626858125345,,,,113.7,51.641,22.1878,3.173
AFG,Low income,1991,48.763,14.783,60.194580523815844,,,,117.3,50.999,20.3704,2.976
AFG,Low income,1990,48.88,15.241,58.38874310810137,,,0.0,121.1,50.331,19.0122,
AFG,Low income,1989,49.048,15.738,56.63708081485832,,,,125.1,49.64,18.1798,
AFG,Low income,1988,49.236,16.268,54.93796839041258,,,,129.2,48.93,17.7956,
AFG,Low income,1987,49.418,16.826,53.289829338700194,,,,133.3,48.211,17.7749,
AFG,Low income,1986,49.586,17.406,51.69113445853919,,,,137.5,47.486,17.9766,
AFG,Low income,1985,49.735,18.005,50.14040042478301,,,,141.6,46.761,18.286,
AFG,Low income,1984,49.865,18.618,48.636188412039516,,,,145.7,46.04,18.6936,
AFG,Low income,1983,49.984,19.24,47.177102759678334,,,,149.8,45.324,19.2043,
AFG,Low income,1982,50.098,19.865,45.76178967688798,,,,154.1,44.617,19.7325,
AFG,Low income,1981,50.21,20.49,44.38893598658134,3478790000.0,264.111,,158.4,43.923,20.1753,
AFG,Low income,1980,50.321,21.109,43.0572679069839,3641720000.0,272.655,,162.7,43.244,20.4585,
AFG,Low income,1979,50.436,21.72,41.765549869774375,3697940000.0,275.738,,167.0,42.585,20.542,
AFG,Low income,1978,50.555,22.324,40.512583373681146,3300000000.0,247.354,,171.2,41.944,20.435,
AFG,Low income,1977,50.678,22.92,39.29720587247071,2953330000.0,224.225,,175.4,41.32,20.1748,
AFG,Low income,1976,50.803,23.508,38.11828969629659,2555560000.0,197.446,,179.3,40.715,19.8252,
AFG,Low income,1975,50.93,24.087,36.974741005407694,2366670000.0,186.511,,183.2,40.128,19.4363,
AFG,Low income,1974,51.058,24.658,35.86549877524546,2155560000.0,173.654,,187.2,39.558,19.0132,
AFG,Low income,1973,51.184,25.222,34.78953381198809,1733330000.0,143.145,,191.0,39.003,18.5476,
AFG,Low income,1972,51.303,25.781,33.74584779762845,1595560000.0,135.317,,195.0,38.461,18.0609,
AFG,Low income,1971,51.411,26.334,32.7334723636996,1831110000.0,159.568,,198.8,37.93,17.5772,
AFG,Low income,1970,51.502,26.88,31.75146819278861,1748890000.0,156.519,,202.6,37.409,17.1149,
AFG,Low income,1969,51.574,27.418,30.798924147004946,1408890000.0,129.33,,206.3,36.9,16.6862,
AFG,Low income,1968,51.623,27.946,29.8749564225948,1373330000.0,129.108,,210.1,36.403,16.293,
AFG,Low income,1967,51.65,28.468,28.978707729916955,1673330000.0,160.899,,213.9,35.914,15.9298,
AFG,Low income,1966,51.652,28.985,28.109346498019445,1400000000.0,137.594,,217.7,35.43,15.585,
AFG,Low income,1965,51.631,29.501,27.266066103078863,1006670000.0,101.108,,221.4,34.948,15.2503,
AFG,Low income,1964,51.589,30.022,26.448084119986497,800000000.0,82.0952,,225.1,34.463,14.9263,
AFG,Low income,1963,51.53,30.551,25.6546415963869,751111000.0,78.7064,,228.9,33.971,14.6175,
AFG,Low income,1962,51.457,31.093,24.885002348495295,546667000.0,58.458,,232.6,33.471,14.3238,
AFG,Low income,1961,51.373,31.649,24.13845227804043,548889000.0,59.8609,,236.5,32.962,14.045,
AFG,Low income,1960,51.279,32.219,23.414298709699217,537778000.0,59.7732,,,32.446,,
ALB,Upper middle income,2018,,,2592.0,15058900000.0,5253.63,,7.8,,104.612,13.898
ALB,Upper middle income,2017,11.934,7.714,2514.24,13025100000.0,4532.89,71.847,8.0,78.333,104.871,13.75
ALB,Upper middle income,2016,12.08,7.534,2438.8127999999997,11861400000.0,4124.11,66.3634,8.2,78.194,104.967,15.22
ALB,Upper middle income,2015,12.197,7.367,2365.648416,11386900000.0,3952.83,63.2529,8.5,78.025,105.135,17.08
ALB,Upper middle income,2014,12.259,7.219,2294.67896352,13228200000.0,4578.67,60.1,8.9,77.813,105.442,17.49
ALB,Upper middle income,2013,12.257,7.096,2225.8385946144,12776300000.0,4413.08,57.2,9.5,77.554,105.66,15.866
ALB,Upper middle income,2012,12.197,6.996,2159.0634367759676,12319800000.0,4247.61,54.656,10.2,77.252,105.854,13.376
ALB,Upper middle income,2011,12.1,6.915,2094.2915336726883,12890900000.0,4437.18,49.0,11.0,76.914,106.029,13.481
ALB,Upper middle income,2010,12.001,6.841,2031.4627876625077,11927000000.0,4094.36,45.0,11.9,76.562,106.315,14.086
ALB,Upper middle income,2009,11.945,6.756,1970.5189040326327,12044200000.0,4114.13,41.2,12.9,76.221,106.844,13.674
ALB,Upper middle income,2008,11.973,6.65,1911.4033369116537,12881400000.0,4370.54,23.86,13.9,75.912,107.566,13.06
ALB,Upper middle income,2007,12.118,6.518,1854.061236804304,10677300000.0,3595.04,15.0361,14.9,75.646,108.395,15.966
ALB,Upper middle income,2006,12.398,6.365,1798.4393997001746,8896070000.0,2972.74,9.60999,16.0,75.423,109.217,16.394
ALB,Upper middle income,2005,12.821,6.206,1744.4862177091693,8052080000.0,2673.79,6.04389,17.1,75.228,109.908,16.874
ALB,Upper middle income,2004,13.381,6.061,1692.1516311778942,7184680000.0,2373.58,2.42039,18.3,75.039,110.472,17.272
ALB,Upper middle income,2003,14.048,5.952,1641.3870822425574,5611490000.0,1846.12,0.9719,19.4,74.828,110.935,17.496
ALB,Upper middle income,2002,14.79,5.891,1592.1454697752806,4348070000.0,1425.12,0.390081,20.6,74.579,111.351,17.51
ALB,Upper middle income,2001,15.59,5.879,1544.3811056820223,3922100000.0,1281.66,0.325798,21.8,74.288,111.685,17.411
ALB,Upper middle income,2000,16.436,5.914,1498.0496725115615,3480360000.0,1126.68,0.114097,23.0,73.955,112.738,17.767
ALB,Upper middle income,1999,17.321,5.983,1453.1081823362147,3212120000.0,1033.24,0.081437,24.2,73.587,113.459,18.569
ALB,Upper middle income,1998,18.238,6.067,1409.5149368661282,2545970000.0,813.79,0.0650274,25.4,73.208,114.18,18.323
ALB,Upper middle income,1997,19.173,6.147,1367.2294887601442,2258520000.0,717.381,0.0485939,26.7,72.838,114.901,18.311
ALB,Upper middle income,1996,20.106,6.213,1326.21260409734,3199640000.0,1009.98,0.0321968,27.9,72.495,115.622,18.358
ALB,Upper middle income,1995,21.02,6.25,1286.4262259744196,2392760000.0,750.604,0.0111687,29.1,72.205,116.342,17.607
ALB,Upper middle income,1994,21.902,6.25,1247.8334391951869,1880950000.0,586.416,,30.2,71.992,117.063,17.527
ALB,Upper middle income,1993,22.742,6.216,1210.3984360193315,1185320000.0,367.279,,31.4,71.86,117.784,17.681
ALB,Upper middle income,1992,23.529,6.155,1174.0864829387513,652175000.0,200.852,,32.5,71.802,118.505,17.653
ALB,Upper middle income,1991,24.245,6.073,1138.8638884505888,1099560000.0,336.587,,33.8,71.803,119.226,16.781
ALB,Upper middle income,1990,24.867,5.985,1104.6979717970712,2028553750.0,617.23,0.0,35.2,71.836,119.947,
ALB,Upper middle income,1989,25.372,5.908,1071.557032643159,2253090000.0,697.996,,36.9,71.86,117.808,
ALB,Upper middle income,1988,25.762,5.855,1039.4103216638641,2051236249.0,652.774,,38.8,71.843,114.684,
ALB,Upper middle income,1987,26.047,5.836,1008.2280120139483,2080796249.0,674.793,,41.0,71.76,112.54,
ALB,Upper middle income,1986,26.241,5.855,977.9811716535298,2097326250.0,693.873,,43.4,71.605,110.315,
ALB,Upper middle income,1985,26.367,5.907,948.6417365039239,1897050000.0,639.866,,46.2,71.388,108.203,
ALB,Upper middle income,1984,26.452,5.98,920.1824844088061,1857340000.0,639.485,,49.4,71.134,106.001,
ALB,Upper middle income,1983,26.528,6.061,892.577009876542,,,,52.8,70.876,103.794,
ALB,Upper middle income,1982,26.627,6.14,865.7996995802456,,,,56.6,70.635,101.616,
ALB,Upper middle income,1981,26.772,6.215,839.8257085928382,,,,61.0,70.416,99.4911,
ALB,Upper middle income,1980,26.981,6.291,814.6309373350531,,,,65.6,70.208,97.5181,
ALB,Upper middle income,1979,27.262,6.378,790.1920092150013,,,,70.5,69.991,95.5413,
ALB,Upper middle income,1978,27.606,6.485,766.4862489385514,,,,75.9,69.742,93.6593,
ALB,Upper middle income,1977,28.004,6.621,743.4916614703949,,,,,69.448,91.7353,
ALB,Upper middle income,1976,28.455,6.784,721.186911626283,,,,,69.11,89.7272,
ALB,Upper middle income,1975,28.949,6.971,699.5513042774944,,,,,68.736,87.7676,
ALB,Upper middle income,1974,29.473,7.173,678.5647651491696,,,,,68.343,85.7709,
ALB,Upper middle income,1973,30.019,7.382,658.2078221946945,,,,,67.953,83.8231,
ALB,Upper middle income,1972,30.587,7.591,638.4615875288536,,,,,67.582,81.8659,
ALB,Upper middle income,1971,31.183,7.798,619.307739902988,,,,,67.237,79.8486,
ALB,Upper middle income,1970,31.837,7.996,600.7285077058983,,,,,66.935,77.9372,
ALB,Upper middle income,1969,32.59,8.184,582.7066524747213,,,,,66.689,75.9743,
ALB,Upper middle income,1968,33.458,8.366,565.2254529004797,,,,,66.487,73.8055,
ALB,Upper middle income,1967,34.435,8.555,548.2686893134653,,,,,66.304,71.7372,
ALB,Upper middle income,1966,35.496,8.762,531.8206286340613,,,,,66.11,69.8749,
ALB,Upper middle income,1965,36.599,9.009,515.8660097750395,,,,,65.85,68.0581,
ALB,Upper middle income,1964,37.695,9.32,500.3900294817883,,,,,65.463,66.2093,
ALB,Upper middle income,1963,38.723,9.707,485.37832859733464,,,,,64.914,64.3292,
ALB,Upper middle income,1962,39.627,10.175,470.8169787394146,,,,,64.19,62.4569,
ALB,Upper middle income,1961,40.368,10.719,456.6924693772321,,,,,63.301,60.5766,
ALB,Upper middle income,1960,40.924,11.326,442.9916952959151,,,,,62.283,,
DZA,Upper middle income,2018,,,1562.0,181000000000.0,4278.85,59.5797,20.1,,17.7301,12.145
DZA,Upper middle income,2017,24.846,4.717,1515.1399999999999,168000000000.0,4048.29,47.6911,20.6,76.499,17.3777,11.996
DZA,Upper middle income,2016,25.25,4.717,1469.6858,160000000000.0,3948.81,42.9455,21.0,76.298,17.026,10.202
DZA,Upper middle income,2015,25.481,4.715,1425.595226,166000000000.0,4177.89,38.2,21.4,76.09,16.6803,11.206
DZA,Upper middle income,2014,25.538,4.709,1382.8273692199998,214000000000.0,5493.06,29.5,21.8,75.878,16.3425,10.207
DZA,Upper middle income,2013,25.451,4.699,1341.3425481433999,210000000000.0,5499.59,22.5,22.1,75.661,16.0136,9.82
DZA,Upper middle income,2012,25.246,4.685,1301.1022716990976,209000000000.0,5592.22,18.2,22.4,75.436,15.696,10.97
DZA,Upper middle income,2011,24.934,4.67,1262.0692035481247,200000000000.0,5455.84,14.9,22.9,75.199,15.3927,9.96
DZA,Upper middle income,2010,24.504,4.656,1224.207127441681,161000000000.0,4480.79,12.5,23.5,74.938,15.1055,9.96
DZA,Upper middle income,2009,23.932,4.643,1187.4809136184306,137000000000.0,3883.27,11.23,24.3,74.644,14.8353,10.16
DZA,Upper middle income,2008,23.226,4.637,1151.8564862098776,171000000000.0,4923.63,10.18,25.3,74.311,14.582,11.33
DZA,Upper middle income,2007,22.424,4.639,1117.3007916235813,135000000000.0,3950.51,9.45119,26.4,73.936,14.3454,13.79
DZA,Upper middle income,2006,21.582,4.651,1083.7817678748738,117000000000.0,3478.71,7.37598,27.5,73.521,14.1245,12.27
DZA,Upper middle income,2005,20.774,4.674,1051.2683148386275,103000000000.0,3113.09,5.84394,28.8,73.072,13.9183,15.27
DZA,Upper middle income,2004,20.077,4.71,1019.7302653934687,85325000000.0,2609.95,4.63448,30.1,72.594,13.7262,17.65
DZA,Upper middle income,2003,19.557,4.757,989.1383574316646,67863800000.0,2103.38,2.19536,31.3,72.101,13.5465,23.72
DZA,Upper middle income,2002,19.27,4.814,959.4642067087146,56760300000.0,1781.83,1.59164,32.4,71.605,13.3747,25.9
DZA,Upper middle income,2001,19.257,4.882,930.6802805074533,54744700000.0,1740.61,0.646114,33.3,71.116,13.2053,27.3
DZA,Upper middle income,2000,19.554,4.961,902.7598720922297,54790200000.0,1765.02,0.491706,33.9,70.64,13.0334,29.77
DZA,Upper middle income,1999,20.175,5.05,875.6770759294627,48640600000.0,1588.35,0.199524,34.4,70.183,12.8576,28.448
DZA,Upper middle income,1998,21.073,5.148,849.4067636515788,48187700000.0,1596.0,0.0202386,34.9,69.745,12.6768,26.919
DZA,Upper middle income,1997,22.187,5.257,823.9245607420314,48177900000.0,1619.81,0.0102685,35.5,69.323,12.4879,25.43
DZA,Upper middle income,1996,23.475,5.375,799.2068239197705,46941500000.0,1603.94,0.00173853,36.2,68.919,12.2878,28.618
DZA,Upper middle income,1995,24.884,5.499,775.2306192021772,41764100000.0,1452.27,0.00176895,37.1,68.54,12.0743,31.84
DZA,Upper middle income,1994,26.361,5.624,751.9737006261118,42542600000.0,1507.87,0.000360674,38.1,68.194,11.8459,27.74
DZA,Upper middle income,1993,27.863,5.752,729.4144896073286,49946500000.0,1807.33,,39.0,67.877,11.6031,26.23
DZA,Upper middle income,1992,29.345,5.887,707.5320549191086,48003300000.0,1776.04,,39.9,67.575,11.3481,24.38
DZA,Upper middle income,1991,30.774,6.035,686.3060932715354,45715400000.0,1731.61,,40.7,67.27,11.0845,20.6
DZA,Upper middle income,1990,32.13,6.207,665.7169104733894,62045100000.0,2408.69,0.0,41.8,66.938,10.8151,
DZA,Upper middle income,1989,33.415,6.411,645.7454031591876,55631500000.0,2215.85,,43.2,66.554,10.5411,
DZA,Upper middle income,1988,34.653,6.657,626.373041064412,59089100000.0,2417.38,,45.3,66.097,10.2629,
DZA,Upper middle income,1987,35.86,6.956,607.5818498324796,66742300000.0,2807.33,,48.5,65.545,9.9819,
DZA,Upper middle income,1986,37.034,7.317,589.3543943375053,63696300000.0,2757.13,,53.0,64.884,9.69979,
DZA,Upper middle income,1985,38.175,7.76,571.67376250738,57937900000.0,2582.88,,59.4,64.087,9.41812,
DZA,Upper middle income,1984,39.284,8.302,554.5235496321586,53698300000.0,2467.35,,67.5,63.13,9.13768,
DZA,Upper middle income,1983,40.354,8.94,537.8878431431939,48801400000.0,2312.66,,76.6,62.029,8.85986,
DZA,Upper middle income,1982,41.377,9.661,521.751207848898,45207100000.0,2210.3,,85.8,60.813,8.58738,
DZA,Upper middle income,1981,42.34,10.445,506.09867161343107,44348700000.0,2237.09,,94.2,59.519,8.32345,
DZA,Upper middle income,1980,43.226,11.261,490.9157114650281,42345300000.0,2203.0,,101.5,58.198,8.07043,
DZA,Upper middle income,1979,44.014,12.075,476.18824012107723,33243400000.0,1782.7,,107.8,56.909,7.82949,
DZA,Upper middle income,1978,44.694,12.854,461.9025929174449,26364500000.0,1456.42,,113.4,55.7,7.60044,
DZA,Upper middle income,1977,45.266,13.572,448.04551512992157,20971900000.0,1192.74,,118.6,54.609,7.38238,
DZA,Upper middle income,1976,45.734,14.212,434.6041496760239,17728300000.0,1037.61,,123.5,53.661,7.17366,
DZA,Upper middle income,1975,46.102,14.764,421.5660251857432,15557900000.0,936.79,,128.1,52.866,6.97293,
DZA,Upper middle income,1974,46.381,15.23,408.91904443017086,13209700000.0,817.988,,132.5,52.218,6.78035,
DZA,Upper middle income,1973,46.593,15.633,396.65147309726575,8715110000.0,554.755,,136.7,51.676,6.59594,
DZA,Upper middle income,1972,46.766,15.996,384.7519289043477,6761790000.0,442.352,,140.2,51.201,6.41799,
DZA,Upper middle income,1971,46.922,16.331,373.2093710372173,5077220000.0,341.389,,143.1,50.773,6.24428,
DZA,Upper middle income,1970,47.092,16.653,362.0130899061008,4863490000.0,336.225,,145.5,50.372,6.07328,
DZA,Upper middle income,1969,47.303,16.975,351.15269720891774,4257220000.0,302.752,,147.1,49.982,5.90397,
DZA,Upper middle income,1968,47.563,17.304,340.6181162926502,3852120000.0,281.926,,148.2,49.597,5.73681,
DZA,Upper middle income,1967,47.869,17.646,330.3995728038707,3370840000.0,253.924,,148.6,49.21,5.57367,
DZA,Upper middle income,1966,48.215,18.005,320.48758561975455,3039830000.0,235.598,,148.6,48.811,5.41731,
DZA,Upper middle income,1965,48.575,18.383,310.8729580511619,3136260000.0,249.883,,148.3,48.394,5.26963,
DZA,Upper middle income,1964,48.918,18.776,301.54676930962705,2909350000.0,238.049,,147.9,47.958,5.13141,
DZA,Upper middle income,1963,49.21,19.176,292.5003662303382,2703010000.0,226.9,,147.4,47.509,5.00172,
DZA,Upper middle income,1962,49.43,19.574,283.7253552434281,2001470000.0,172.246,,146.9,47.056,4.87871,
DZA,Upper middle income,1961,49.576,19.967,275.2135945861252,2434780000.0,214.776,,146.6,46.599,4.75969,
DZA,Upper middle income,1960,49.656,20.355,266.95718674854146,2723650000.0,246.309,,146.5,46.141,,
ASM,Upper middle income,2018,,,4439.0,,,,,,277.325,
ASM,Upper middle income,2017,,,4305.83,634000000.0,11398.8,,,,278.1,
ASM,Upper middle income,2016,,,4176.6551,653000000.0,11714.9,,,,278.705,
ASM,Upper middle income,2015,,,4051.355447,661000000.0,11843.3,,,,279.06,
ASM,Upper middle income,2014,17.5,4.2,3929.8147835899995,643000000.0,11525.2,,,,278.955,
ASM,Upper middle income,2013,,,3811.9203400822994,641000000.0,11505.4,,,,278.565,
ASM,Upper middle income,2012,,,3697.56272987983,644000000.0,11568.8,,,,278.335,
ASM,Upper middle income,2011,,,3586.6358479834353,574000000.0,10294.3,,,,278.795,
ASM,Upper middle income,2010,18.7,,3479.0367725439323,576000000.0,10271.2,,,,280.395,
ASM,Upper middle income,2009,,,3374.6656693676146,678000000.0,11961.3,,,,283.415,
ASM,Upper middle income,2008,,,3273.4256992865858,563000000.0,9792.67,,,,287.46,
ASM,Upper middle income,2007,,,3175.2229283079882,520000000.0,8909.45,,,,291.825,
ASM,Upper middle income,2006,21.6,4.0,3079.966240458748,496000000.0,8391.56,,,,295.535,
ASM,Upper middle income,2005,,,2987.5672532449857,503000000.0,8444.98,,,,297.81,
ASM,Upper middle income,2004,,,2897.940235647636,512000000.0,8578.94,,,,298.405,
ASM,Upper middle income,2003,,,2811.002028578207,527000000.0,8856.55,,,,297.52,
