Country Code,Country,Region,hdicode,Year,co2_prod,abr,coef_ineq,diff_hdi_phdi,eys,eys_f,eys_m,gii,gni_pc_f,gni_pc_m,gnipc,hdi,hdi_f,hdi_m,ihdi,ineq_edu,ineq_inc,ineq_le,le,le_f,le_m,lfpr_f,lfpr_m,mf,mmr,mys,mys_f,mys_m,phdi,pr_f,pr_m,se_f,se_m,IncomeGroup,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
AFG,Afghanistan,South Asia,Low,1990,0.209727313,142.96,23.649936161647123,1.098901099,2.504050016,1.970662649,3.939092538,0.5064586303067865,668.0557602,4700.298515,2684.550019,0.273,0.196279945,0.329910184,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,45.9672,48.3973,43.7088,15.18,77.43,2.33,1500.0,0.97112539,0.342503031,1.311019876,0.27,13.77303080758388,86.22696919255972,0.700484716,5.419458611,Low income,48.88,15.241,58.38874310810137,96337803522.7216,4446.5379104811,0.0,121.1,50.331,19.0122,8.304764598540146
AFG,Afghanistan,South Asia,Low,1991,0.182524769,147.525,23.649936161647123,1.075268817,2.806550026,2.0966789,4.171639642,0.5064586303067865,564.9263743,3987.412921,2276.289409,0.279,0.196378106,0.334045576,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,46.6631,49.1439,44.3528,15.214,77.176,2.28,1530.0,1.019355778,0.371860434,1.385485805,0.276,13.77303080758388,86.22696919255972,0.772360539,5.583395245,Low income,48.763,14.783,60.19458052381584,96337803522.7216,4446.5379104811,15.712817964592324,117.3,50.999,20.3704,2.976
AFG,Afghanistan,South Asia,Low,1992,0.095232862,147.521,23.649936161647123,1.045296167,3.109050035,2.230753402,4.417915329,0.5064586303067865,508.7507302,3611.099678,2059.868084,0.287,0.199362258,0.34022826,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,47.5955,50.3197,45.0697,15.223,76.871,2.35,1520.0,1.067586167,0.401217837,1.459951734,0.284,13.77303080758388,86.22696919255972,0.844236362,5.747331878,Low income,48.709,14.362,62.05626858125345,96337803522.7216,4446.5379104811,15.712817964592324,113.7,51.641,22.1878,3.173
AFG,Afghanistan,South Asia,Low,1993,0.084284849,147.896,23.649936161647123,1.01010101,3.411550045,2.373401451,4.678730074,0.5064586303067865,374.5810925,2675.906967,1525.533426,0.297,0.195311403,0.356374407,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,51.4664,52.7389,50.2164,15.197,76.58,2.1,1480.0,1.115816555,0.43057524,1.534417663,0.294,13.77303080758388,86.22696919255972,0.916112186,5.911268512,Low income,48.717,13.974,63.97553461984892,96337803522.7216,4446.5379104811,15.712817964592324,110.4,52.256,24.2266,3.463
AFG,Afghanistan,South Asia,Low,1994,0.075053905,155.669,23.649936161647123,1.02739726,3.714050055,2.525171289,4.954942201,0.5064586303067865,266.2076098,1908.508902,1087.96189,0.292,0.182091907,0.347560398,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,51.4945,53.5442,49.5307,15.178,76.33,1.83,1540.0,1.164046944,0.459932642,1.608883592,0.289,13.77303080758388,86.22696919255972,0.987988009,6.075205145,Low income,48.77,13.616,65.9541594019061,96337803522.7216,4446.5379104811,15.712817964592324,107.1,52.842,26.1553,3.612
AFG,Afghanistan,South Asia,Low,1995,0.067943421,156.77,23.649936161647123,0.967741935,4.016550064,2.686646222,5.247460706,0.5064586303067865,328.4241349,2347.28821,1339.087122,0.31,0.199483054,0.367555056,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,52.5442,54.0874,51.0387,15.221,76.102,1.81,1490.0,1.212277332,0.489290045,1.683349521,0.307,13.77303080758388,86.22696919255972,1.059863832,6.239141779,Low income,48.835,13.282,67.99397876485165,96337803522.7216,4446.5379104811,15.712817964592324,104.0,53.398,27.7405,3.653
AFG,Afghanistan,South Asia,Low,1996,0.061787143,154.932,23.649936161647123,0.940438871,4.319050074,2.858446852,5.557248247,0.5064586303067865,324.3166378,2336.562506,1332.30721,0.319,0.204407892,0.376092144,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,53.2433,54.8057,51.7216,15.078,76.14,1.62,1440.0,1.251383053,0.518647448,1.736839132,0.316,13.77303080758388,86.22696919255972,1.121384663,6.344188554,Low income,48.87,12.964,70.09688532458934,96337803522.7216,4446.5379104811,15.712817964592324,101.1,53.924,28.8782,3.621
AFG,Afghanistan,South Asia,Low,1997,0.056005215,156.444,23.649936161647123,0.92879257,4.621550083,3.041233468,5.885324314,0.5064586303067865,297.8914719,2157.935831,1230.26129,0.323,0.204163534,0.380760776,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,53.6342,55.1513,52.1525,14.954,76.262,1.73,1470.0,1.290488773,0.54800485,1.790328743,0.32,13.77303080758388,86.22696919255972,1.182905495,6.449235328,Low income,48.833,12.655,72.26483023153541,96337803522.7216,4446.5379104811,15.712817964592324,98.4,54.424,29.6497,3.603
AFG,Afghanistan,South Asia,Low,1998,0.052143695,154.262,23.649936161647123,0.925925926,4.924050093,3.23570858,6.232768583,0.5064586303067865,277.7259462,2016.629812,1149.90239,0.324,0.203051618,0.380485829,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,52.9431,54.8179,51.1337,14.873,76.415,2.08,1410.0,1.329594493,0.577362253,1.843818354,0.321,13.77303080758388,86.22696919255972,1.244426326,6.554282103,Low income,48.688,12.348,74.49982498096433,96337803522.7216,4446.5379104811,15.712817964592324,95.7,54.906,30.2328,3.536
AFG,Afghanistan,South Asia,Low,1999,0.040132679,154.416,23.649936161647123,0.903614458,5.226550102,3.442619624,6.600724469,0.5064586303067865,258.5663333,1878.913793,1071.800919,0.332,0.205236817,0.39227905,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,54.8464,56.3004,53.4104,14.827,76.549,2.03,1470.0,1.368700214,0.606719656,1.897307965,0.329,13.77303080758388,86.22696919255972,1.305947158,6.659328878,Low income,48.419,12.037,76.80394327934468,96337803522.7216,4446.5379104811,15.712817964592324,93.1,55.376,30.8961,3.606
AFG,Afghanistan,South Asia,Low,2000,0.036461584,152.572,23.649936161647123,1.194029851,5.529050112,3.662761828,6.99040289,0.5064586303067865,237.2676187,1726.031083,984.9974338,0.335,0.203936948,0.396252763,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,55.2978,56.8579,53.7617,14.795,76.646,2.28,1450.0,1.407805934,0.636077058,1.950797576,0.331,13.77303080758388,86.22696919255972,1.36746799,6.764375653,Low income,48.021,11.718,79.17932296839658,96337803522.7216,4446.5379104811,15.712817964592324,90.6,55.841,31.8291,3.517
AFG,Afghanistan,South Asia,Low,2001,0.036930645,150.863,23.649936161647123,1.18694362,5.831550121,3.896981274,7.403086251,0.5064586303067865,216.8189728,1564.229173,894.0245886,0.337,0.201547442,0.400002035,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,55.7981,57.3437,54.2716,14.936,76.589,2.34,1390.0,1.465160991,0.671958328,2.001140739,0.333,13.77303080758388,86.22696919255972,1.476499959,7.183766943,Low income,47.505,11.387,81.62816800865627,96337803522.7216,4446.5379104811,0.00472257,88.0,56.308,33.0959,3.426
AFG,Afghanistan,South Asia,Low,2002,0.046529388,148.141,23.649936161647123,1.104972376,6.134050131,4.146178147,7.840132666,0.5064586303067865,310.019029,2213.982986,1267.628852,0.362,0.23412425,0.426736706,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,56.4538,57.6715,55.2265,15.113,76.491,2.48,1300.0,1.522516047,0.707839598,2.051483902,0.358,13.77303080758388,86.22696919255972,1.585531927,7.603158234,Low income,46.901,11.048,84.15275052438791,4055180000.0,179.426,0.0045614,85.4,56.784,34.6181,3.55
AFG,Afghanistan,South Asia,Low,2003,0.050082617,143.37,23.649936161647123,1.329787234,6.43655014,4.411310196,8.302980423,0.5064586303067865,345.8247108,2442.948082,1401.324413,0.376,0.248561349,0.441486253,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,57.3445,58.6498,56.0316,15.298,76.393,2.63,1240.0,1.579871104,0.743720868,2.101827066,0.371,13.77303080758388,86.22696919255972,1.694563896,8.022549524,Low income,46.231,10.704,86.75541291174011,4515560000.0,190.684,0.0878913,82.8,57.271,36.2725,3.419
AFG,Afghanistan,South Asia,Low,2004,0.035959937,138.827,23.649936161647123,1.020408163,7.39387989,4.137720108,10.46887016,0.5064586303067865,344.9831452,2409.342035,1384.695729,0.392,0.24601711,0.471733817,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,57.9436,59.2159,56.6578,15.475,76.332,2.2,1180.0,1.637226161,0.779602138,2.152170229,0.388,13.77303080758388,86.22696919255972,1.803595865,8.441940815,Low income,45.507,10.356,89.43857001210321,5226780000.0,211.382,0.105809,80.1,57.772,37.8744,3.087
AFG,Afghanistan,South Asia,Low,2005,0.050802445,133.071,23.649936161647123,1.0,7.660417938,4.592572117,10.55986004,0.748,361.2608997,2492.272718,1435.19173,0.4,0.25804377,0.476655583,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,58.3608,59.6966,57.0128,15.644,76.318,2.02,1140.0,1.694581217,0.815483408,2.202513392,0.396,25.92592593,74.07407407,1.912627834,8.861332105,Low income,44.723,10.003,92.20471135268372,6209140000.0,242.031,1.22415,77.4,58.29,39.2952,2.942
AFG,Afghanistan,South Asia,Low,2006,0.061869518,126.106,23.649936161647123,0.733496333,7.926955986,5.047424126,10.65084991,0.749,379.7255676,2638.813517,1518.767846,0.409,0.270040327,0.482456142,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,58.6844,60.2431,57.1332,15.455,76.422,1.53,1120.0,1.77670323,0.841578877,2.300053271,0.406,25.92592593,74.07407407,1.887654031,9.45898459,Low income,43.87,9.645,95.05640345637497,6971290000.0,263.734,2.10712,74.7,58.826,40.4881,2.825
AFG,Afghanistan,South Asia,Low,2007,0.083710521,125.858,23.649936161647123,0.70754717,8.193494034,5.502276134,10.74183979,0.752,450.2102996,3147.896767,1811.166659,0.424,0.290083384,0.494361998,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,59.1113,60.909,57.3416,15.275,76.567,1.53,1090.0,1.858825243,0.867674346,2.39759315,0.421,25.87209302,74.12790698,1.862680228,10.05663707,Low income,42.944,9.287,97.996292223067,9747890000.0,359.693,1.9,72.0,59.375,41.5105,2.128
AFG,Afghanistan,South Asia,Low,2008,0.151484676,128.171,23.649936161647123,0.697674419,8.460032082,5.957128143,10.83282967,0.755,434.2512158,3047.085012,1753.066993,0.43,0.296278756,0.498714113,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,59.8515,61.5289,58.1715,15.137,76.712,1.38,1030.0,1.940947256,0.893769815,2.495133029,0.427,25.87209302,74.12790698,1.837706425,10.65428956,Low income,41.949,8.932,101.02710538460516,10109200000.0,364.66,1.84,69.4,59.93,42.4628,2.494
AFG,Afghanistan,South Asia,Low,2009,0.237367297,120.635,23.649936161647123,0.909090909,8.726570129,6.411980152,10.92381954,0.755,466.8929261,3273.768702,1884.200863,0.44,0.308813946,0.507355452,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,60.3636,61.8922,58.82,15.076,76.813,1.43,993.0,2.023069268,0.919865284,2.592672907,0.436,25.92592593,74.07407407,1.812732622,11.25194204,Low income,40.903,8.584,104.15165503567542,12439100000.0,438.076,3.55,66.8,60.484,43.493,2.47
ALB,Albania,Europe & Central Asia,High,1990,1.656901718,14.815,23.649936161647123,4.327666151,11.60293007,11.30202007,11.88436031,0.5064586303067865,3269.522238,6163.322477,4742.215529,0.647,0.616863759,0.668709103,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,73.1439,76.4334,70.05,51.364,72.51,6.63,40.0,7.354632085,6.692813596,7.920670472,0.619,13.77303080758388,86.22696919255972,58.16488349,67.01064279,Upper middle income,24.867,5.985,1104.6979717970712,2028553750.0,617.23,0.0,35.2,71.836,119.947,8.304764598540146
ALB,Albania,Europe & Central Asia,High,1991,1.288960628,14.784,23.649936161647123,3.656597774,11.76358032,11.47906971,12.03052998,0.5064586303067865,2379.675628,4308.316112,3358.087827,0.629,0.600126579,0.65136699,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,73.3776,76.6308,70.3212,54.727,75.143,5.91,47.0,7.352753507,6.696485922,7.922592965,0.606,13.77303080758388,86.22696919255972,58.38584943,67.06259649,Upper middle income,24.245,6.073,1138.8638884505888,1099560000.0,336.587,15.712817964592324,33.8,71.803,119.226,16.781
ALB,Albania,Europe & Central Asia,High,1992,0.768726936,16.155,23.649936161647123,3.25732899,10.66378021,10.7585001,10.57411957,0.5064586303067865,2221.045841,3921.220697,3080.746654,0.614,0.589594949,0.632360637,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,73.7148,76.9718,70.6602,55.608,75.858,5.65,49.0,7.350874929,6.700158247,7.924515458,0.594,13.77303080758388,86.22696919255972,58.60681536,67.11455018,Upper middle income,23.529,6.155,1174.0864829387513,652175000.0,200.852,15.712817964592324,32.5,71.802,118.505,17.653
ALB,Albania,Europe & Central Asia,High,1993,0.724712295,17.855,23.649936161647123,3.079416532,10.12650013,10.35231018,9.912679672,0.5064586303067865,2572.821025,4489.664681,3538.885493,0.617,0.595004024,0.634138901,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,73.9391,77.1176,70.9567,54.638,75.222,5.36,47.0,7.348996351,6.703830573,7.926437951,0.598,13.77303080758388,86.22696919255972,58.8277813,67.16650387,Upper middle income,22.742,6.216,1210.3984360193317,1185320000.0,367.279,15.712817964592324,31.4,71.86,117.784,17.681
ALB,Albania,Europe & Central Asia,High,1994,0.607846322,20.157,23.649936161647123,3.044871795,10.09115028,10.15380001,10.0290699,0.5064586303067865,2884.584327,4986.091413,3940.312045,0.624,0.600297553,0.642194921,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,74.1313,77.2579,71.2024,53.825,74.68,5.54,39.0,7.347117774,6.707502899,7.928360444,0.605,13.77303080758388,86.22696919255972,59.04874724,67.21845756,Upper middle income,21.902,6.25,1247.8334391951869,1880950000.0,586.416,15.712817964592324,30.2,71.992,117.063,17.527
ALB,Albania,Europe & Central Asia,High,1995,0.663842752,21.869,23.649936161647123,2.996845426,10.16617012,10.09895039,10.2286396,0.5064586303067865,3354.066513,5807.971076,4583.051036,0.634,0.609514585,0.65358902,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,74.3616,77.511,71.4282,52.576,73.768,5.47,38.0,7.345239196,6.711175224,7.930282937,0.615,13.77303080758388,86.22696919255972,59.26971318,67.27041126,Upper middle income,21.02,6.25,1286.4262259744196,2392760000.0,750.604,0.0111687,29.1,72.205,116.342,17.607
ALB,Albania,Europe & Central Asia,High,1996,0.643237487,21.756,23.649936161647123,3.255813953,10.22844982,10.1965704,10.25599957,0.5064586303067865,3643.342398,6449.878338,5044.975175,0.645,0.620082807,0.664328356,0.4913376764386536,23.538542141961432,26.35624195933059,18.19803261610578,74.5923,77.7464,71.6686,51.66,73.023,6.13,32.0,7.627025866,6.997616629,8.222501847,0.624,13.77303080758388,86.22696919255972,61.29751564,69.80074852,Upper middle income,20.106,6.213,1326.21260409734,3199640000.0,1009.98,0.0321968,27.9,72.495,115.622,18.358
